id,network_id
1116364,1116363
1116336,1116363
1116369,1116364
1116330,1116365
1116380,1116368
1116374,1116368
1116357,1116368
1116336,1116368
1116364,1116368
1116363,1116368
1116350,1116368
1116332,1116369
1116353,1116371
1116359,1116371
1116335,1116373
1116373,1116374
1116326,1116374
1116320,1116374
1116340,1116378
1116335,1116379
1116374,1116379
1116324,1116379
1116378,1116379
1116342,1116380
1116336,1116380
1116364,1116384
1116330,1116384
1116352,1116384
1116391,1116284
1116435,1116284
1116417,1116284
1116417,1116389
1116432,1116389
1116446,1116389
1116408,1116389
1116443,1116389
1116409,1116389
1116429,1116389
1116389,1116389
1116415,1116390
1116430,1116390
1116446,1116390
1116400,1116390
1116417,1116390
1116425,1116390
1116409,1116390
1116408,1116390
1116391,1116390
1116435,1116390
1116449,1116391
1116435,1116391
1116402,1116391
1116430,1116396
1116445,1116400
1116404,1116400
1116390,1116400
1116430,1116400
1116444,1116400
1116424,1116400
1116443,1116401
1116424,1116401
1116390,1116401
1116448,1116401
1116404,1116401
1116444,1116404
1116443,1116404
1116410,1116405
1116401,1116405
1116409,1116405
1116400,1116405
1116448,1116408
1116431,1116408
1116425,1116408
1116446,1116408
1116430,1116408
1116446,1116409
1116411,1116409
1116389,1116409
1116408,1116409
1116420,1116409
1116401,1116410
1116420,1116410
1116424,1116410
1116400,1116410
1116443,1116410
1116389,1116410
1116409,1116411
1116426,1116415
1116390,1116415
1116445,1116415
1116424,1116415
1116402,1116415
1116426,1116416
1116448,1116416
1116431,1116416
1116431,1116417
1116391,1116417
1116435,1116417
1116420,1116417
1116432,1116418
1116444,1116418
1116400,1116420
1116422,1116420
1116442,1116422
1116427,1116422
1116416,1116422
1116445,1116424
1116404,1116424
1116409,1116425
1116418,1116425
1116415,1116425
1116420,1116425
1116390,1116425
1116427,1116426
1116411,1116426
1116422,1116427
1116442,1116427
1116429,1116427
1116444,1116429
1116418,1116429
1116410,1116429
1116402,1116429
1116405,1116429
1116445,1116430
1116418,1116430
1116418,1116432
1116449,1116432
1116391,1116435
1116411,1116435
1116417,1116435
1116443,1116442
1116427,1116442
1116422,1116442
1116404,1116442
1116424,1116442
1116411,1116443
1116404,1116443
1116405,1116444
1116401,1116444
1116410,1116444
1116449,1116444
1116408,1116446
1116444,1116446
1116402,1116446
1116449,1116448
1116389,1116448
1116427,1116449
1116429,1116449
1116422,1116449
1116442,1116461
1116391,1116476
1116416,1116499
1116442,1116502
1116482,1116410
1116482,1116415
1116482,1116418
1116518,1116444
