"name","address","region","village","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes"
"3335135","yazhouxiabian1",3,"yazhou",0,62,2,"0",70,3,NA,"0","0",50,"1","1","0","1","1","0","1","0",0.200000002980232,32,0,"0","0",NA,"0"
"3335096","yazhoushangbian2",3,"yazhou",0,41,2,"2",60,5,20,"1","1",20,"1","1","0","0","0","0","0","1",0.200000002980232,32,0,"1","1","0","1"
"3335102","yazhoushangbian2",3,"yazhou",0,34,6,"2",100,8,20,"1","1",20,"1","1","0","1","1","0","1","0",0.800000011920929,32,0,"1","1",NA,"1"
"3335153","yazhouxiabian1",3,"yazhou",0,33,4,"2",100,55,30,"0","1",40,"1","1","0","0","0","0","0","1",0.400000005960464,32,0,"1","1","0","1"
"3335146","yazhouxiabian1",3,"yazhou",0,43,4,"1",100,13,10,"0","1",20,"1","1","0","0","0","0","0","1",0.400000005960464,32,0,"1","0","0","1"
"3335119","yazhouxiabian1",3,"yazhou",0,53,5,"1",95,10,25,"0","1",0,"1","1","0","1","0","0","0","1",0.200000002980232,32,0,"1","0",NA,"1"
"3335148","yazhouxiabian1",3,"yazhou",0,63,2,"2",100,2,10,"1","0",30,"0","1","0","1","1","0","1","0",1,32,0,"1","1",NA,"1"
"3335157","yazhouxiabian1",3,"yazhou",0,44,4,"2",80,10,20,"1","1",30,"1","1","0","1","0","1","0","0",1,32,0,"1","1",NA,"1"
"3335123","yazhouxiabian1",3,"yazhou",0,58,2,"0",100,3,60,"0","0",20,"1","0","0","0","0","0","0","1",0.200000002980232,32,0,"0","0",NA,"1"
"3335154","yazhouxiabian1",3,"yazhou",0,40,5,"2",60,6,50,"1","1",50,"1","1","0","0","0","0","0","1",0.200000002980232,32,0,"1","1","0","1"
"3335141","yazhouxiabian1",3,"yazhou",1,74,4,"1",100,2,10,"1","1",0,"1","1","0","1","0","0","0","1",0.600000023841858,32,0.800000011920929,"1","0",NA,"1"
"3335122","yazhouxiabian1",3,"yazhou",1,56,3,"2",100,9,NA,"1","1",20,"1","1","0","0","0","0","0","1",0.600000023841858,32,0,"1","1","0","0"
"3335126","yazhouxiabian1",3,"yazhou",0,41,5,"2",100,15,NA,"1","1",40,"1","1","0","0","1","0","0","1",0.600000023841858,32,0,"1","1",NA,"0"
"3335134","yazhouxiabian1",3,"yazhou",0,55,8,"1",NA,10,15,"0","1",40,"1","1","0","0","1","0","0","1",0,32,0,"1","0","0","1"
"3335139","yazhouxiabian1",3,"yazhou",1,70,2,"0",100,2.20000004768372,5,"0","0",30,"1","0","0","1","1","1","0","0",0,32,0,"0","0",NA,"1"
"3335128","yazhouxiabian1",3,"yazhou",0,37,4,"1",100,24,20,"1","0",20,"1","1","0","1","0","1","0","0",0.400000005960464,32,0,"1","0",NA,"1"
"3335132","yazhouxiabian1",3,"yazhou",0,35,3,"2",50,8,20,"1","1",20,"1","1","0","1","1","0","0","1",0.400000005960464,32,0.800000011920929,"1","1",NA,"1"
"3335137","yazhouxiabian1",3,"yazhou",0,40,4,"1",40,7,NA,"0","1",20,"0","1","0","1","0","0","1","0",0.600000023841858,32,0.600000023841858,"1","0",NA,"0"
"3335127","yazhouxiabian1",3,"yazhou",1,40,4,"3",50,7.69999980926514,30,"1","0",40,"1","1","0","1","0","0","1","0",0.800000011920929,32,0,"1","1",NA,"1"
"3335156","yazhouxiabian1",3,"yazhou",0,63,6,"1",40,2,40,"0","1",20,"1","1","0","1","0","1","0","0",0,32,0,"1","0",NA,"1"
"3335129","yazhouxiabian1",3,"yazhou",0,34,4,"1",100,17,40,"1","1",20,"1","1","0","0","0","0","0","1",0.200000002980232,32,0,"1","0",NA,"1"
"3335133","yazhouxiabian1",3,"yazhou",0,40,4,"2",100,29,15,"1","1",50,"0","1","0","1","0","1","0","0",0.600000023841858,32,0,"1","1",NA,"1"
"3335144","yazhouxiabian1",3,"yazhou",0,55,6,"1",80,14,30,"1","1",40,"1","1","0","1","1","0","0","1",0.600000023841858,32,0,"1","0",NA,"1"
"3335121","yazhouxiabian1",3,"yazhou",0,45,4,"1",100,23,10,"0","1",50,"1","1","0","1","0","0","0","1",0.200000002980232,32,0,"1","0",NA,"1"
"3335125","yazhouxiabian1",3,"yazhou",0,40,4,"0",100,10,30,"0","0",50,"1","0","0","0","1","0","0","1",0,32,0,"0","0","0","1"
"3335143","yazhouxiabian1",3,"yazhou",1,53,3,"2",100,10,NA,"0","0",50,"1","1","0","0","1","0","0","1",0.800000011920929,32,0,"1","1","0","0"
"33312008","yongfengcaomen1",3,"yongfeng",1,51,4,"3",70,12,NA,"1","1",20,"1","1","0","1","0","0","0","1",0.800000011920929,39,0.800000011920929,"1","1",NA,NA
"33312027","yongfengcaomen1",3,"yongfeng",1,63,11,"1",60,8,NA,"0","0",20,"1","1","0","1","0","0","0","1",0.400000005960464,39,0,"1","0",NA,"0"
"33312044","yongfengcaomen1",3,"yongfeng",0,64,2,"1",70,12,NA,"1","1",40,"1","1","0","0","1","0","0","1",NA,38,0.600000023841858,"1","0",NA,NA
"33312155","yongfengsanfang1",3,"yongfeng",1,31,6,"0",20,3,40,"0","1",20,"0","0","1","0","1","0","0","1",0.600000023841858,34,0,"0","0","0","1"
"33312228","yongfengsifang",3,"yongfeng",1,58,3,"1",70,12,NA,"1","1",20,"1","1","1","1","0","1","0","0",0.600000023841858,37,0.800000011920929,"1","0",NA,NA
"33312262","yongfengyangzu",3,"yongfeng",1,75,19,"0",40,5,NA,"0","0",30,"1","1","0","1","0","1","0","0",0.800000011920929,39,0,"0","0",NA,NA
"33312266","yongfengyangzu",3,"yongfeng",1,65,10,"0",70,12,NA,"1","1",20,"1","0","0","1","0","0","1","0",0.600000023841858,39,0.800000011920929,"0","0",NA,NA
"3335025","yazhoushangbian1",3,"yazhou",1,77,2,"0",30,4,NA,"1","1",20,"1","1","1","1","0","0","0","1",0.800000011920929,34,0.800000011920929,"0","0",NA,NA
"3335027","yazhoushangbian1",3,"yazhou",0,47,5,"1",80,18,NA,"1","1",20,"1","1","1","0","1","0","0","1",NA,34,0.800000011920929,"1","0",NA,NA
"3335028","yazhoushangbian1",3,"yazhou",0,72,2,"2",40,5,NA,"0","0",50,"1","1","1","0","1","0","0","1",NA,34,0.400000005960464,"1","1",NA,NA
"3335029","yazhoushangbian1",3,"yazhou",1,33,2,"2",80,18,NA,"1","1",40,"1","1","1","1","0","0","0","1",0.800000011920929,34,0.600000023841858,"1","1",NA,NA
"3335042","yazhoushangbian1",3,"yazhou",0,47,4,"2",40,7,NA,"1","1",20,"1","1","1","0","1","0","0","1",NA,34,0.800000011920929,"1","1",NA,NA
"3335049","yazhoushangbian1",3,"yazhou",1,40,5,"2",10,4.5,NA,"1","1",20,"1","1","1","1","0","1","0","0",0.600000023841858,34,0.800000011920929,"1","1",NA,NA
"3335058","yazhoushangbian1",3,"yazhou",0,47,3,"1",60,7.5,NA,"0","0",0,"1","1","1","0","1","0","0","1",0.800000011920929,34,0,"1","0","0","0"
"3335089","yazhoushangbian2",3,"yazhou",0,73,6,"0",30,4,NA,"1","1",20,"1","0","0","0","0","0","0","1",NA,32,0.800000011920929,"0","0",NA,NA
"3335124","yazhouxiabian1",3,"yazhou",0,73,5,"1",30,4,NA,"1","1",20,"1","1","0","0","1","0","0","1",NA,32,0.800000011920929,"1","0",NA,NA
"3335149","yazhouxiabian1",3,"yazhou",1,70,2,"1",10,4,NA,"1","1",20,"1","1","0","1","0","0","0","1",0.800000011920929,32,0.800000011920929,"1","0",NA,NA
"3335150","yazhouxiabian1",3,"yazhou",0,62,2,"1",60,10,NA,"0","0",50,"1","1","0","0","0","0","0","1",0,32,0.400000005960464,"1","0",NA,NA
