"id","village","address","network_id","network_village","network_address","takeup_survey"
1111169,"fusheng","fusheng31",1111176,"fusheng","fusheng31",1
1111162,"fusheng","fusheng31",1111176,"fusheng","fusheng31",1
1111174,"fusheng","fusheng31",1111176,"fusheng","fusheng31",1
1111177,"fusheng","fusheng31",1111176,"fusheng","fusheng31",1
1111171,"fusheng","fusheng31",1111176,"fusheng","fusheng31",1
1111175,"fusheng","fusheng31",1111176,"fusheng","fusheng31",1
1111178,"fusheng","fusheng31",1111177,"fusheng","fusheng31",1
1111176,"fusheng","fusheng31",1111177,"fusheng","fusheng31",1
1111202,"fusheng","fusheng31",1111177,"fusheng","fusheng31",1
1111154,"fusheng","fusheng31",1111177,"fusheng","fusheng31",1
1111270,"fusheng","fusheng32",1111177,"fusheng","fusheng31",1
1111263,"fusheng","fusheng32",1111177,"fusheng","fusheng31",1
1111166,"fusheng","fusheng31",1111177,"fusheng","fusheng31",1
1111169,"fusheng","fusheng31",1111177,"fusheng","fusheng31",1
1111179,"fusheng","fusheng31",1111177,"fusheng","fusheng31",1
1111269,"fusheng","fusheng32",1111177,"fusheng","fusheng31",1
1111184,"fusheng","fusheng31",1111177,"fusheng","fusheng31",1
1111185,"fusheng","fusheng31",1111177,"fusheng","fusheng31",1
1111171,"fusheng","fusheng31",1111177,"fusheng","fusheng31",1
1111163,"fusheng","fusheng31",1111177,"fusheng","fusheng31",1
1111205,"fusheng","fusheng31",1111177,"fusheng","fusheng31",1
1111154,"fusheng","fusheng31",1111178,"fusheng","fusheng31",1
1111161,"fusheng","fusheng31",1111178,"fusheng","fusheng31",1
1111186,"fusheng","fusheng31",1111178,"fusheng","fusheng31",1
1111263,"fusheng","fusheng32",1111179,"fusheng","fusheng31",0
1111269,"fusheng","fusheng32",1111179,"fusheng","fusheng31",0
1111177,"fusheng","fusheng31",1111179,"fusheng","fusheng31",0
1111170,"fusheng","fusheng31",1111179,"fusheng","fusheng31",0
1111163,"fusheng","fusheng31",1111179,"fusheng","fusheng31",0
1111270,"fusheng","fusheng32",1111184,"fusheng","fusheng31",1
1111185,"fusheng","fusheng31",1111184,"fusheng","fusheng31",1
1111187,"fusheng","fusheng31",1111184,"fusheng","fusheng31",1
1111269,"fusheng","fusheng32",1111184,"fusheng","fusheng31",1
1111175,"fusheng","fusheng31",1111184,"fusheng","fusheng31",1
1111186,"fusheng","fusheng31",1111184,"fusheng","fusheng31",1
1111202,"fusheng","fusheng31",1111184,"fusheng","fusheng31",1
1111186,"fusheng","fusheng31",1111185,"fusheng","fusheng31",1
1111202,"fusheng","fusheng31",1111185,"fusheng","fusheng31",1
